organism,organ,assay,cell_type_counts
Homo sapiens,adrenal gland,sci-RNA-seq3,"{""Schwann cell"": 1215, ""blood vessel endothelial cell"": 2190, ""chromaffin cell"": 25433, ""cortical cell of adrenal gland"": 410019, ""endothelial cell of vascular tree"": 18064, ""erythroblast"": 3437, ""innate lymphoid cell"": 792, ""megakaryocyte"": 1171, ""myeloid cell"": 2969, ""stromal cell"": 13124, ""sympathetic neuron"": 4744, ""unknown"": 201}"
Homo sapiens,adrenal tissue,10x 5' transcription profiling,"{""B cell"": 154, ""CD4-positive, CD25-positive, alpha-beta regulatory T cell"": 70, ""CD4-positive, alpha-beta T cell"": 1273, ""CD8-positive, alpha-beta T cell"": 3555, ""IgA plasma cell"": 156, ""IgG plasma cell"": 292, ""MHC-II-positive classical monocyte"": 124, ""activated type II NK T cell"": 767, ""class switched memory B cell"": 9, ""classical monocyte"": 20, ""collagen secreting cell"": 55, ""conventional dendritic cell"": 48, ""effector memory CD4-positive, alpha-beta T cell"": 32, ""effector memory CD8-positive, alpha-beta T cell"": 1088, ""endothelial cell"": 373, ""endothelial cell of lymphatic vessel"": 2, ""epithelial cell"": 3, ""epithelial cell of proximal tubule"": 311, ""fibroblast"": 163, ""gamma-delta T cell"": 150, ""innate lymphoid cell"": 14, ""kidney loop of Henle ascending limb epithelial cell"": 1, ""macrophage"": 915, ""mucosal invariant T cell"": 149, ""naive B cell"": 3, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 3, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 22, ""natural killer cell"": 526, ""non-classical monocyte"": 14, ""plasma cell"": 23, ""plasmacytoid dendritic cell"": 14, ""unknown"": 967, ""unswitched memory B cell"": 3}"
Homo sapiens,adrenal tissue,Smart-seq2,"{""B cell"": 316, ""CD1c-positive myeloid dendritic cell"": 14, ""CD4-positive, alpha-beta T cell"": 106, ""CD8-positive, alpha-beta T cell"": 304, ""bronchus fibroblast of lung"": 16, ""capillary endothelial cell"": 2, ""classical monocyte"": 8, ""dendritic cell"": 2, ""endothelial cell of lymphatic vessel"": 2, ""epithelial cell of lung"": 8, ""fibroblast of lung"": 90, ""macrophage"": 46, ""malignant cell"": 62, ""mast cell"": 36, ""myeloid cell"": 2, ""natural killer cell"": 8, ""pericyte"": 8, ""plasma cell"": 170, ""regulatory T cell"": 36, ""smooth muscle cell"": 20, ""vein endothelial cell"": 20}"
Homo sapiens,alveolar sac,10x 3' v2,"{""basal cell"": 4752, ""ciliated cell"": 1012, ""club cell"": 20956, ""epithelial cell"": 1, ""goblet cell"": 410, ""hepatic stellate cell"": 1, ""intestinal tuft cell"": 1, ""lung secretory cell"": 3760, ""mesothelial cell"": 19, ""neuroendocrine cell"": 374, ""paneth cell"": 1, ""pulmonary alveolar type 1 cell"": 1320, ""pulmonary alveolar type 2 cell"": 33705, ""smooth muscle cell"": 2, ""stem cell"": 14571, ""stromal cell"": 3}"
Homo sapiens,alveolar sac,10x 3' v3,"{""acinar cell"": 4, ""basal cell"": 20678, ""ciliated cell"": 2166, ""club cell"": 21762, ""epithelial cell"": 7, ""goblet cell"": 992, ""intestinal tuft cell"": 1, ""lung secretory cell"": 7979, ""mesothelial cell"": 8, ""neuroendocrine cell"": 598, ""pulmonary alveolar type 1 cell"": 28751, ""pulmonary alveolar type 2 cell"": 57979, ""stem cell"": 8017}"
Homo sapiens,alveolus of lung,10x 3' v3,"{""B cell"": 2128, ""T cell"": 12953, ""alveolar macrophage"": 680, ""ciliated cell"": 117, ""dendritic cell"": 628, ""endothelial cell"": 5874, ""endothelial cell of lymphatic vessel"": 730, ""epithelial cell of lower respiratory tract"": 710, ""fibroblast"": 5415, ""macrophage"": 2982, ""mast cell"": 2495, ""monocyte"": 8823, ""natural killer cell"": 3709, ""pericyte"": 324, ""plasma cell"": 1301, ""pulmonary alveolar type 1 cell"": 673, ""pulmonary alveolar type 2 cell"": 6553, ""smooth muscle cell"": 1652}"
Homo sapiens,ampulla of fallopian tube,10x 3' v3,"{""B cell"": 295, ""blood vessel endothelial cell"": 4260, ""ciliated epithelial cell"": 6723, ""endothelial cell"": 4668, ""endothelial cell of lymphatic vessel"": 2805, ""fallopian tube secretory epithelial cell"": 2196, ""fibroblast"": 3477, ""lymphocyte"": 11128, ""macrophage"": 6434, ""mast cell"": 1246, ""mature NK T cell"": 2066, ""myofibroblast cell"": 6879, ""natural killer cell"": 1706, ""peg cell"": 5687, ""pericyte"": 7207, ""perivascular cell"": 5056, ""plasma cell"": 954, ""secretory cell"": 15189, ""smooth muscle cell"": 6967, ""stromal cell"": 31706}"
Homo sapiens,ampulla of fallopian tube,Drop-seq,"{""B cell"": 23, ""ciliated epithelial cell"": 35, ""endothelial cell"": 37, ""endothelial cell of lymphatic vessel"": 16, ""fallopian tube secretory epithelial cell"": 103, ""lymphocyte"": 96, ""macrophage"": 123, ""mast cell"": 11, ""natural killer cell"": 93, ""pericyte"": 21, ""perivascular cell"": 17, ""plasma cell"": 11, ""secretory cell"": 100, ""smooth muscle cell"": 44, ""stromal cell"": 1416}"
Homo sapiens,amygdala,10x 3' v3,"{""GABAergic interneuron"": 679, ""T cell"": 31, ""TAC3-positive striatal interneuron"": 728, ""astrocyte"": 1638, ""endothelial cell"": 31, ""glutamatergic neuron"": 443, ""microglial cell"": 1201, ""mural cell"": 39, ""oligodendrocyte"": 6080, ""oligodendrocyte precursor cell"": 1459, ""pvalb GABAergic cortical interneuron"": 1296, ""sst GABAergic cortical interneuron"": 414, ""unknown"": 1138}"
Homo sapiens,angular gyrus,10x 3' v3,"{""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 114452, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 310, ""L6b glutamatergic cortical neuron"": 3396, ""VIP GABAergic cortical interneuron"": 16306, ""astrocyte of the cerebral cortex"": 7664, ""caudal ganglionic eminence derived cortical interneuron"": 1234, ""cerebral cortex endothelial cell"": 194, ""chandelier pvalb GABAergic cortical interneuron"": 1096, ""corticothalamic-projecting glutamatergic cortical neuron"": 3622, ""lamp5 GABAergic cortical interneuron"": 8108, ""microglial cell"": 3712, ""near-projecting glutamatergic cortical neuron"": 3018, ""oligodendrocyte"": 15722, ""oligodendrocyte precursor cell"": 5448, ""pvalb GABAergic cortical interneuron"": 13198, ""sncg GABAergic cortical interneuron"": 3534, ""sst GABAergic cortical interneuron"": 20312, ""vascular leptomeningeal cell"": 178}"
Homo sapiens,anterior cingulate cortex,10x 3' v3,"{""GABAergic interneuron"": 1692, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 116984, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 7652, ""L6b glutamatergic cortical neuron"": 8168, ""VIP GABAergic cortical interneuron"": 17596, ""astrocyte"": 907, ""astrocyte of the cerebral cortex"": 10008, ""caudal ganglionic eminence derived cortical interneuron"": 2500, ""cerebral cortex endothelial cell"": 330, ""chandelier pvalb GABAergic cortical interneuron"": 2850, ""corticothalamic-projecting glutamatergic cortical neuron"": 11756, ""glutamatergic neuron"": 4163, ""lamp5 GABAergic cortical interneuron"": 11942, ""microglial cell"": 5738, ""near-projecting glutamatergic cortical neuron"": 8282, ""neuron"": 20, ""oligodendrocyte"": 15118, ""oligodendrocyte precursor cell"": 6867, ""pvalb GABAergic cortical interneuron"": 22264, ""sncg GABAergic cortical interneuron"": 4276, ""sst GABAergic cortical interneuron"": 26928, ""unknown"": 326, ""vascular leptomeningeal cell"": 226}"
Homo sapiens,anterior cingulate cortex,10x multiome,"{""GABAergic neuron"": 2778, ""astrocyte"": 4091, ""endothelial cell"": 801, ""ependymal cell"": 58, ""glutamatergic neuron"": 3496, ""microglial cell"": 1863, ""oligodendrocyte"": 8246, ""oligodendrocyte precursor cell"": 3339, ""pericyte"": 553, ""perivascular cell"": 909, ""vascular leptomeningeal cell"": 423}"
Homo sapiens,anterior cingulate cortex,Drop-seq,"{""GABAergic neuron"": 1525, ""glial cell"": 290, ""glutamatergic neuron"": 3849, ""neural progenitor cell"": 1753}"
Homo sapiens,anterior cingulate gyrus,Smart-seq v4,"{""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 66, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 65, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 273, ""L6b glutamatergic cortical neuron"": 323, ""VIP GABAergic cortical interneuron"": 656, ""astrocyte"": 262, ""caudal ganglionic eminence derived cortical interneuron"": 66, ""endothelial cell"": 6, ""glutamatergic neuron"": 2387, ""lamp5 GABAergic cortical interneuron"": 431, ""microglial cell"": 106, ""near-projecting glutamatergic cortical neuron"": 167, ""oligodendrocyte"": 189, ""oligodendrocyte precursor cell"": 155, ""pericyte"": 2, ""pvalb GABAergic cortical interneuron"": 432, ""sst GABAergic cortical interneuron"": 351, ""unknown"": 340, ""vascular leptomeningeal cell"": 2}"
Homo sapiens,anterior part of tongue,10x 3' v3,"{""B cell"": 9, ""CD4-positive, alpha-beta T cell"": 159, ""CD8-positive, alpha-beta T cell"": 654, ""Schwann cell"": 63, ""T cell"": 15, ""basal cell"": 17628, ""endothelial cell"": 1458, ""endothelial cell of lymphatic vessel"": 150, ""fibroblast"": 2718, ""macrophage"": 294, ""mast cell"": 21, ""monocyte"": 114, ""mural cell"": 480, ""myeloid dendritic cell"": 24, ""myoepithelial cell"": 6, ""natural killer cell"": 3, ""neutrophil"": 15, ""regulatory T cell"": 9, ""salivary gland cell"": 12, ""stratified squamous epithelial cell"": 17268, ""tongue muscle cell"": 249}"
Homo sapiens,anterior part of tongue,Smart-seq2,"{""CD4-positive, alpha-beta T cell"": 240, ""basal cell"": 1683, ""endothelial cell"": 30, ""fibroblast"": 96, ""macrophage"": 6, ""mural cell"": 45, ""neutrophil"": 24, ""salivary gland cell"": 240, ""stratified squamous epithelial cell"": 207, ""taste receptor cell"": 6, ""tongue muscle cell"": 42}"
Homo sapiens,anterior segment of eyeball,10x 3' v3,"{""B cell"": 156, ""CD4-positive, alpha-beta T cell"": 69, ""CD8-positive, alpha-beta T cell"": 186, ""Mueller cell"": 3, ""Schwann cell"": 96, ""T cell"": 9, ""classical monocyte"": 3, ""conjunctival epithelial cell"": 7224, ""corneal epithelial cell"": 7971, ""erythrocyte"": 12, ""fibroblast"": 129, ""keratocyte"": 78, ""macrophage"": 9, ""mast cell"": 3, ""mature NK T cell"": 3, ""microglial cell"": 78, ""monocyte"": 12, ""myeloid leukocyte"": 72, ""natural killer cell"": 6, ""neutrophil"": 3, ""plasma cell"": 15, ""radial glial cell"": 6, ""retinal blood vessel endothelial cell"": 114}"
Homo sapiens,anterior wall of left ventricle,10x 3' v2,"{""B cell"": 19, ""Schwann cell"": 294, ""T cell"": 345, ""cardiac endothelial cell"": 265, ""cardiac muscle cell"": 9619, ""contractile cell"": 2459, ""endothelial cell of lymphatic vessel"": 553, ""endothelial cell of vascular tree"": 6846, ""fibroblast"": 8990, ""fibroblast of cardiac tissue"": 297, ""macrophage"": 3062, ""mast cell"": 65, ""mature NK T cell"": 319, ""professional antigen presenting cell"": 3043, ""smooth muscle cell"": 209, ""subcutaneous adipocyte"": 189}"
Homo sapiens,aorta,10x 3' v3,"{""B cell"": 78, ""CD4-positive, alpha-beta T cell"": 681, ""CD8-positive, alpha-beta T cell"": 2406, ""T cell"": 33, ""basophil"": 462, ""capillary endothelial cell"": 1947, ""classical monocyte"": 6, ""endothelial cell"": 5841, ""endothelial cell of artery"": 633, ""endothelial cell of lymphatic vessel"": 120, ""erythrocyte"": 195, ""fibroblast"": 21276, ""intermediate monocyte"": 24, ""macrophage"": 10413, ""mast cell"": 219, ""mature NK T cell"": 897, ""monocyte"": 246, ""myeloid dendritic cell"": 3, ""natural killer cell"": 300, ""neutrophil"": 795, ""pericyte"": 2133, ""plasma cell"": 111, ""smooth muscle cell"": 15066, ""vein endothelial cell"": 300}"
Homo sapiens,aorta,Smart-seq2,"{""B cell"": 3, ""CD4-positive, alpha-beta T cell"": 24, ""CD8-positive, alpha-beta T cell"": 30, ""T cell"": 3, ""endothelial cell"": 849, ""fibroblast"": 612, ""macrophage"": 687, ""mast cell"": 36, ""myeloid dendritic cell"": 9, ""natural killer cell"": 57, ""pericyte"": 78, ""plasma cell"": 27, ""smooth muscle cell"": 84}"
Homo sapiens,apex of heart,10x 3' v2,"{""B cell"": 192, ""CD14-positive monocyte"": 187, ""CD14-positive, CD16-positive monocyte"": 874, ""CD141-positive myeloid dendritic cell"": 31, ""CD4-positive, alpha-beta cytotoxic T cell"": 914, ""CD8-positive, alpha-beta cytotoxic T cell"": 638, ""T-helper 17 cell"": 1, ""activated CD4-positive, alpha-beta T cell"": 312, ""activated CD8-positive, alpha-beta T cell"": 602, ""adipocyte"": 1170, ""capillary endothelial cell"": 25429, ""cardiac endothelial cell"": 4457, ""cardiac mesenchymal cell"": 1, ""cardiac muscle cell"": 10466, ""cardiac neuron"": 97, ""cardiac ventricle fibroblast"": 4789, ""cycling T cell"": 1, ""cycling macrophage"": 34, ""cytotoxic T cell"": 5, ""dendritic cell"": 190, ""effector T cell"": 5, ""effector memory CD4-positive, alpha-beta T cell"": 1, ""effector memory CD8-positive, alpha-beta T cell"": 4, ""endocardial cell"": 153, ""endothelial cell"": 15801, ""endothelial cell of artery"": 8933, ""endothelial cell of lymphatic vessel"": 411, ""epicardial adipocyte"": 750, ""fetal cardiomyocyte"": 224, ""fibroblast"": 30354, ""fibroblast of cardiac tissue"": 5149, ""innate lymphoid cell"": 255, ""lymphocyte"": 3936, ""macrophage"": 4454, ""mast cell"": 145, ""mature NK T cell"": 491, ""mesothelial cell"": 14, ""mesothelial cell of epicardium"": 28, ""monocyte"": 477, ""mural cell"": 11451, ""myeloid cell"": 7675, ""natural killer cell"": 1860, ""neural cell"": 491, ""neuron"": 210, ""pericyte"": 24061, ""regular atrial cardiac myocyte"": 3, ""regular ventricular cardiac myocyte"": 48718, ""regulatory T cell"": 2, ""smooth muscle cell"": 4522, ""unknown"": 3376, ""vascular associated smooth muscle cell"": 383, ""vein endothelial cell"": 2144, ""ventricular cardiac muscle cell"": 9558}"
Homo sapiens,apex of heart,10x 3' v3,"{""B cell"": 120, ""CD14-positive monocyte"": 130, ""CD14-positive, CD16-positive monocyte"": 306, ""CD141-positive myeloid dendritic cell"": 10, ""CD4-positive, alpha-beta cytotoxic T cell"": 478, ""CD8-positive, alpha-beta cytotoxic T cell"": 202, ""T-helper 17 cell"": 3, ""activated CD4-positive, alpha-beta T cell"": 170, ""activated CD8-positive, alpha-beta T cell"": 404, ""adipocyte"": 1722, ""capillary endothelial cell"": 28181, ""cardiac endothelial cell"": 5962, ""cardiac mesenchymal cell"": 180, ""cardiac muscle cell"": 40346, ""cardiac neuron"": 697, ""cardiac ventricle fibroblast"": 1692, ""central memory CD4-positive, alpha-beta T cell"": 7, ""cycling T cell"": 4, ""cycling macrophage"": 41, ""dendritic cell"": 110, ""effector T cell"": 17, ""effector memory CD4-positive, alpha-beta T cell"": 38, ""effector memory CD8-positive, alpha-beta T cell"": 128, ""endocardial cell"": 683, ""endothelial cell"": 23383, ""endothelial cell of artery"": 8132, ""endothelial cell of lymphatic vessel"": 594, ""epicardial adipocyte"": 1002, ""fetal cardiomyocyte"": 683, ""fibroblast"": 17178, ""fibroblast of cardiac tissue"": 8808, ""innate lymphoid cell"": 995, ""lymphocyte"": 2944, ""macrophage"": 3160, ""mast cell"": 1722, ""mature NK T cell"": 196, ""mesothelial cell"": 10, ""mesothelial cell of epicardium"": 290, ""monocyte"": 408, ""mural cell"": 31879, ""myeloid cell"": 7902, ""natural killer cell"": 829, ""neural cell"": 818, ""neuron"": 375, ""pericyte"": 37589, ""plasma cell"": 2, ""regular atrial cardiac myocyte"": 2, ""regular ventricular cardiac myocyte"": 50474, ""regulatory T cell"": 8, ""smooth muscle cell"": 7327, ""unknown"": 6848, ""vascular associated smooth muscle cell"": 227, ""vein endothelial cell"": 3429, ""ventricular cardiac muscle cell"": 12340}"
Homo sapiens,apex of heart,10x multiome,"{""adipocyte"": 12, ""endothelial cell"": 714, ""endothelial cell of lymphatic vessel"": 1, ""fibroblast"": 957, ""lymphocyte"": 33, ""mast cell"": 7, ""mesothelial cell"": 2, ""mural cell"": 341, ""myeloid cell"": 244, ""neural cell"": 20, ""regular ventricular cardiac myocyte"": 1113}"
Homo sapiens,apical region of left ventricle,10x 3' v3,"{""cardiac muscle cell"": 28632, ""endothelial cell"": 4246, ""erythrocyte"": 99, ""fibroblast"": 9547, ""leukocyte"": 3926, ""mesothelial cell of epicardium"": 3442, ""neuron"": 859, ""smooth muscle cell"": 425}"
Homo sapiens,arch of aorta,10x 3' v3,"{""blood vessel smooth muscle cell"": 7464, ""endothelial cell of artery"": 3030, ""fibroblast"": 2104, ""lymphocyte"": 267, ""macrophage"": 1902, ""microcirculation associated smooth muscle cell"": 1705, ""unknown"": 25}"
Homo sapiens,arcuate nucleus of hypothalamus,Drop-seq,"{""unknown"": 53386}"
Homo sapiens,arm skin,10x 3' v1,"{""CD8-positive, alpha-beta memory T cell, CD45RO-positive"": 48, ""Schwann cell"": 58, ""basal cell"": 2, ""basal cell of epidermis"": 651, ""cell of skeletal muscle"": 1, ""chondrocyte"": 45, ""conventional dendritic cell"": 168, ""cytotoxic T cell"": 10, ""dendritic cell"": 11, ""endothelial cell of lymphatic vessel"": 26, ""endothelial cell of vascular tree"": 615, ""fibroblast"": 2469, ""granular cell of epidermis"": 37, ""hair follicular keratinocyte"": 1036, ""helper T cell"": 142, ""innate lymphoid cell"": 40, ""keratinocyte"": 43, ""macrophage"": 165, ""mast cell"": 4, ""melanocyte of skin"": 44, ""monocyte"": 2, ""natural killer cell"": 68, ""pericyte"": 815, ""plasma cell"": 39, ""plasmacytoid dendritic cell"": 16, ""regulatory T cell"": 60, ""sebocyte"": 78, ""smooth muscle cell"": 114, ""suprabasal keratinocyte"": 1246}"
Homo sapiens,arm skin,10x 5' transcription profiling,"{""B cell"": 5739, ""CD4-positive, alpha-beta T cell"": 1486, ""CD8-positive, CD28-negative, alpha-beta regulatory T cell"": 1185, ""T cell"": 54, ""activated CD8-positive, alpha-beta T cell, human"": 3352, ""central memory CD8-positive, alpha-beta T cell"": 2239, ""dendritic cell"": 44, ""endothelial cell"": 164, ""fibroblast"": 117, ""macrophage"": 1054, ""malignant cell"": 1420, ""mature NK T cell"": 792, ""myofibroblast cell"": 149, ""plasma cell"": 92, ""plasmacytoid dendritic cell, human"": 259, ""regulatory T cell"": 1460}"
Homo sapiens,arm skin,10x gene expression flex,"{""CD4-positive, alpha-beta memory T cell"": 12, ""activated CD8-positive, alpha-beta T cell"": 472, ""basal cell of epithelium of lobular bronchiole"": 1, ""capillary endothelial cell"": 12, ""conventional dendritic cell"": 17, ""macrophage"": 647, ""malignant cell"": 5624, ""mucous cell of stomach"": 3, ""muscle fibroblast"": 191, ""natural killer cell"": 10, ""pericyte"": 23, ""plasmacytoid dendritic cell"": 63, ""plasmacytoid dendritic cell, human"": 21, ""salivary gland glandular cell"": 1}"
Homo sapiens,artery,microwell-seq,"{""B cell"": 8, ""T cell"": 31, ""alternatively activated macrophage"": 4, ""basal cell"": 28, ""dendritic cell"": 4, ""endothelial cell"": 1772, ""epithelial cell"": 11, ""fibroblast"": 5016, ""macrophage"": 1986, ""mast cell"": 42, ""mesothelial cell"": 27, ""monocyte"": 3, ""myeloid cell"": 1, ""neutrophil"": 1, ""plasma cell"": 145, ""smooth muscle cell"": 333, ""stromal cell"": 240}"
Homo sapiens,ascending aorta,10x 3' v3,"{""blood vessel smooth muscle cell"": 4050, ""endothelial cell of artery"": 3167, ""fibroblast"": 2205, ""lymphocyte"": 338, ""macrophage"": 2074, ""microcirculation associated smooth muscle cell"": 2715, ""unknown"": 182}"
Homo sapiens,ascending colon,10x 3' v2,"{""B cell"": 508, ""BEST4+ enterocyte"": 2539, ""CD16-negative, CD56-bright natural killer cell, human"": 7, ""CD16-positive, CD56-dim natural killer cell, human"": 10, ""CD4-positive, alpha-beta T cell"": 2925, ""CD4-positive, alpha-beta memory T cell"": 55, ""CD8-positive, alpha-beta T cell"": 1022, ""CD8-positive, alpha-beta memory T cell"": 56, ""IgA plasma cell"": 9245, ""IgG plasma cell"": 529, ""IgM plasma cell"": 211, ""Langerhans cell"": 5, ""M cell of gut"": 2, ""T cell"": 33, ""T-helper 17 cell"": 6, ""TREM2-positive macrophage"": 215, ""capillary endothelial cell"": 587, ""colon epithelial cell"": 581, ""colon goblet cell"": 765, ""colonocyte"": 13970, ""conventional dendritic cell"": 452, ""cycling T cell"": 15, ""dendritic cell"": 50, ""dendritic cell, human"": 14, ""effector memory CD8-positive, alpha-beta T cell"": 21, ""endothelial cell"": 1448, ""endothelial cell of artery"": 535, ""endothelial cell of lymphatic vessel"": 111, ""enteric neuron"": 32, ""enterocyte"": 1843, ""enterocyte of epithelium of large intestine"": 528, ""enteroendocrine cell"": 193, ""enteroendocrine cell of colon"": 13, ""enteroglial cell"": 808, ""epithelial cell"": 244, ""fibroblast"": 6902, ""fibroblast of gingiva"": 178, ""fibroblastic reticular cell"": 3, ""follicular B cell"": 2, ""gamma-delta T cell"": 102, ""gastrointestinal tract (lamina propria) macrophage"": 854, ""glial cell"": 331, ""goblet cell"": 425, ""group 3 innate lymphoid cell"": 5, ""innate lymphoid cell"": 68, ""interneuron"": 4, ""intestinal crypt stem cell"": 1567, ""intestinal tuft cell"": 2, ""intestine goblet cell"": 7707, ""leukocyte"": 318, ""lymphocyte"": 63, ""macrophage"": 2256, ""mast cell"": 1101, ""memory B cell"": 35, ""mesothelial cell"": 4, ""monocyte"": 544, ""mucosal invariant T cell"": 4, ""myofibroblast cell"": 779, ""naive T cell"": 587, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 12, ""natural killer cell"": 363, ""neuroblast (sensu Vertebrata)"": 44, ""paneth cell"": 7, ""paneth cell of colon"": 349, ""pericyte"": 409, ""plasma cell"": 4269, ""plasmablast"": 22, ""plasmacytoid dendritic cell"": 471, ""progenitor cell"": 1784, ""regulatory T cell"": 582, ""stem cell"": 986, ""stromal cell"": 98, ""transit amplifying cell"": 7219, ""transit amplifying cell of colon"": 417, ""tuft cell"": 59, ""tuft cell of small intestine"": 101, ""type EC enteroendocrine cell"": 3, ""unknown"": 248, ""vascular associated smooth muscle cell"": 564, ""vein endothelial cell"": 853}"
Homo sapiens,ascending colon,10x 3' v3,"{""B cell"": 2907, ""BEST4+ enterocyte"": 1384, ""CD4-positive, alpha-beta T cell"": 2268, ""CD8-positive, alpha-beta T cell"": 1308, ""colon endothelial cell"": 420, ""colon goblet cell"": 462, ""colon macrophage"": 471, ""enterochromaffin-like cell"": 18, ""enterocyte of epithelium of large intestine"": 6173, ""enteroendocrine cell"": 31, ""enteroendocrine cell of colon"": 34, ""enteroglial cell"": 276, ""fibroblast"": 3660, ""gamma-delta T cell"": 2625, ""goblet cell"": 485, ""innate lymphoid cell"": 24, ""intestinal crypt stem cell of colon"": 2031, ""large intestine goblet cell"": 1860, ""mast cell"": 765, ""mature NK T cell"": 30, ""monocyte"": 87, ""myeloid dendritic cell"": 69, ""myeloid leukocyte"": 729, ""myofibroblast cell"": 12, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 303, ""paneth cell of colon"": 24, ""plasma cell"": 4557, ""progenitor cell"": 25, ""regulatory T cell"": 528, ""stem cell"": 67, ""transit amplifying cell"": 779, ""transit amplifying cell of colon"": 482, ""tuft cell of colon"": 521, ""type L enteroendocrine cell"": 69}"
