organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,Histone ChIP-seq,cell line,"Roderic Guigo, CRG",BLaER1,H3K27ac,12
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K9me3,12
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 17 cell,none,12
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD8-positive, alpha-beta T cell",H3K27ac,12
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K4me3,12
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K27ac,12
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,H3K36me3,12
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",heart left ventricle,CTCF,12
Mus musculus,long read RNA-seq,tissue,"Ali Mortazavi, UCI",layer of hippocampus,none,12
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",placenta,none,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,RAD21,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,SMC3,12
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K27ac,12
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","naive thymus-derived CD4-positive, alpha-beta T cell",H3K36me3,12
Drosophila melanogaster,total RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,none,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,HES2,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,CEBPB,12
Homo sapiens,Histone ChIP-seq,cell line,"Tim Reddy, Duke",A549,H3K9me3,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,BCL3,12
Homo sapiens,Histone ChIP-seq,cell line,"Tim Reddy, Duke",A549,H3K4me2,12
Homo sapiens,Histone ChIP-seq,cell line,"Tim Reddy, Duke",A549,H3K4me1,12
Homo sapiens,DNase-seq,cell line,"Tim Reddy, Duke",A549,none,12
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,nej,12
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",muscle of arm,none,12
Drosophila melanogaster,total RNA-seq,cell line,"Brenton Graveley, UConn",ML-DmBG3-c2,none,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,JUNB,12
Homo sapiens,Histone ChIP-seq,cell line,"Tim Reddy, Duke",A549,H3K4me3,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,CTCF,12
Homo sapiens,TF ChIP-seq,cell line,"Tim Reddy, Duke",A549,FOSL2,12
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW",CD14-positive monocyte,none,12
Homo sapiens,DNase-seq,in vitro differentiated cells,"John Stamatoyannopoulos, UW",hematopoietic multipotent progenitor cell,none,12
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K4me3,11
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,H3K4me1,11
Homo sapiens,total RNA-seq,cell line,"Tim Reddy, Duke",A549,none,11
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",urinary bladder,none,11
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",heart right ventricle,none,11
